Source	Target	Notes
dbu ma rtsa ba'i tshig le'ur byas pa shes rab ces bya ba	"Fundamental Treatise on the Middle Way, Called """"Wisdom"""", by"	
dbu ma snang ba	Kamalaśīla's Illumination of the Middle Way	
dbu ma thal 'gyur pa	Prāsaṅgika-Mādhyamaka; the Middle Way Consequence School	
dbu ma thal rang	Mādhyamika Prāsaṅgikas and Svātantrikas{BJ 41.4}	
dbu ma'i bstan bcos	Treatise on the Middle, by Nāgārjuna (klu sgrub), P. 5224, vol. 95	
dbu ma'i lam	the middle way; the middle path{N}	
dbu ma'i lta khrid	Instructions on the View of the Middle Way{N}	
dbu ma'i rgyan gyi tshig le'ur byas pa	Ornament of the Middle Way; by Śāntirakṣita (zhi ba 'tsho), P. 5284,	
dbu ma'i snying po'i 'grel pa rtog ge 'bar ba	"Commentary on the Heart of the Middle"""": Blaze of Reasoning [by"	
dbu ma'i snying po'i tshig le'ur byas pa	Essence of the Middle Way, by Bhāvaviveka (legs ldan 'byed), P. 5255,	
dbu skra	hair	
dbugs	breath	
dbugs 'byung ba	exhalation	
dbugs 'byung rngub	exhalation and inhalation of the breath	
dbugs dbyung ba	let out the breath; exhale	
dbugs phyi nang du rgyu ba	movement of breath outward and inward; inhalation and exhalation of	
dbugs rngub	to inhale	
dbugs rngub pa	inhalation	
dbul	offer; present; poor	
dbul phongs	to be poor	
dbul po	poor	
dbul por gyur	poor	
dbung	middle	
dbus	middle | middle; center	
dbus dang mtha' rnam par 'byed pa	Discrimination of the Middle Way and the Extremes, attributed to	
dbus mtha'	Discrimination of the Middle Way and the Extremes, attributed to	
dbus mtha' rnam 'byed	Discrimination of the Middle Way and the Extremes, attributed to	
dbus mtha' rtsa 'grel	[Maitreya's] root text of and [Vasubandhu's] commentary on the	
dbus rnam 'byed pa	differentiation of the middle way	
dbus su	in the middle of	
dbyang can ma	Sarasvatī	
dbyangs	voice; melody; tone; vowel	
dbyangs yig	vowel	
dbyar	summer	
dbye	divide; separate; open; differentiate; to divide; division	
dbye ba	divide; separate; open; differentiate; to divide; division	
dbye bar byed	dividing; to divide	
dbye bas tha dad pa	different through division {T}	
dbye gzhi	basis of division	
dbye med pa	undifferentiated; undivided; non-difference	
dbye na	when one divides ...; if one divides ...	
dbye na mi mang ba	when divided, there are not many [parts] {T}	
dbyen	dissention; punishment; trouble	
dbyen bcos	[dissention-make]; dissention; punishment; trouble	
dbyen med pa	non-dissention; no trouble	
dbyer med	undifferentiated; undivided	
dbyibs	shape	
dbyibs dang kha dog	shape and color	
dbyibs kyi gzugs	shape-form	
dbyig	precious resources; treasure	
dbyig gnyen	Vasubandhu [p.n. of the great Buddhist philosopher, author of the	
dbyig pa	clubs	
dbyig pa can	Dbyig-pa-can (Skt. Dandin)	
dbyings	expanse; sphere; element; space; basic element	
dbyings kyis sangs rgyas	elemental Buddha	
dbyings rig dbyer med	undifferentiable expanse and basic knowledge	
dbyod pa	analysis	
dbyug	stick	
dbyug gu	small staff; stick	
dbyugu	small staff; stick	
dbyung ba	take out; remove; issue forth	
de	that; the; he/she/it | (1) that (2) continuative particle indicating that there is more to come	
de 'ang de'ang	also{S}	
de ba shar ma	Devaśarma [p.n.?] {T}	
de bas	therefore	
de bas na	therefore; for that reason	
de brgyad g.yo 'gul byas nas	through vibrating 100 [worlds]	
de byung 'brel	causal relationship; relation/related in the sense of arising from that	
de bzhin	[that-like]; like that; thus	
de bzhin bshegs pa	Tathāgata	
de bzhin du	similarly; likewise{D2}	
de bzhin du bzhed pa	similarly asserts{LG 24.2}	
de bzhin du gnas pa nyid	abiding similarly	
de bzhin du yod pa'i stong pa nyid	emptiness that exists similarly	
de bzhin gnas	abide thus; abide like that	
de bzhin gnas pa	abide like that; abide thus	
de bzhin gshegs	[thus-gone]; One Gone Thus; epithet of the Buddha	
de bzhin gshegs nyid	Tathāgatahood	
de bzhin gshegs pa	Skt. Tathāgata | [thus-gone]; One Gone Thus; epithet of the Buddha	
de bzhin gshegs pa rnams sku rtag pa	permanent body of Tathāgatas	
de bzhin gshegs pa rtag pa	[p.n. of a Tathāgata]	
de bzhin gshegs pa rtag tu	[p.n. of a Tathāgata]	
de bzhin gshegs pa snying po can	having the tathāgata-essence; {T} having the essence of a One Gone	
de bzhin gshegs pa thams cad kyi 'khor lo 'dus pa	[p.n. of a Tathāgata]	
de bzhin gshegs pa'i rigs su skye ba	produce the lineage of a One Gone Thus	
de bzhin gshegs pa'i sa la	on the ground of a One Gone Thus	
de bzhin gshegs pa'i snying po	Tathāgata essence; {T} essence of a One Gone Thus; matrix of a One	
de bzhin gshegs pa'i snying po can	having the Tathāgata essence	
de bzhin gshegs pa'i sprul pa	emanation of a Tathāgata; emanation of a One Gone Thus	
de bzhin gshegs pa'i ye shes dang ldan pa	having the exalted wisdom of a One Gone Thus	
de bzhin gshegs pas gsungs pa bzhin smra ba	one who correctly propounds the speech of the One Gone Thus	
de bzhin gshegs rigs su skye ba	produce the lineage of a One Gone Thus	
de bzhin med pa'i phyir	because it is not like that	
de bzhin min	not like that{BJ 38.1}	
de bzhin nyid	suchness; thusness	
de bzhin nyid dmigs ye shes	exalted wisdom observing suchness	
de bzhin nyid kyi mtshan nyid du yod pa	exist as the character of suchness	
de bzhin nyid kyi ngo bo	entity of suchness	
de bzhin nyid la dmigs pa	object of observation with respect to suchness	
de bzhin nyid ma gtogs par	not included within suchness	
de bzhin nyid ma yin pa	not suchness	
de bzhin nyid rnam par dag pa	completely pure suchness	
de bzhin nyid snang ba nyid	appearance as suchness	
de bzhin nyid tha dad pa'i rang bzhin ma yin pa	is not a nature that is different from suchness	
de bzhin nyid; tathAtA	thusness	
de bzhin yod	exist like that; exist thus	
de ci'i phyir	why is this?{S}	
de ci'i phyir zhe na	why is this?{S}	
de dag	[that-s]; those; these; plural marker	
de dag gang zhe na	what are these?{BJ 63.2}	
de dag kyang bsdus na	when/if those also are condensed	
de dag mtshan mar	signs of those	
de dag thams cad	all those	
de dang de las 'dus byas rnams	this and that compounded phenomenon{BJ 60.1}	
de dang der	here and there	
de dang lhan cig	together with; connected with	
de dang mi mthun	not concordant with that	
de dus	at that time	
de gang	what are ...?{BJ 29.1}	
de gnyis gang rung ma yin pa'i	which is neither of those two	
de gnyis las	from these two	
de kho na	reality; suchness	
de kho na gtan la dbab pa	settling of suchness {N}	
de kho na nyid	[that-only-ness]; reality; suchness [i.e., emptiness]	
de kho na nyid du grub pa	established as [the object's own] suchness; existence as [its own]	
de kho na nyid khong du chud pa	understand reality	
de kho na nyid kyi don	meaning of reality; object of reality	
de kho na nyid kyi lha	suchness deity	
de kho na nyid kyi phyogs gcig la zhugs pa'i ting nge 'dzin	meditative stabilization understanding suchness one-sidedly	
de kho na nyid la 'jug	entry into suchness	
de kho na nyid la 'jug pa	entry into suchness{N}	
de kho na nyid la rab tu zhugs pa	entry into suchness	
de kho na nyid la sgyu ma lta bu yongs su tshol ba	thoroughly investigate/examine/research reality as like an illusion	
de kho na nyid ma mthong ba la brten pa	depending on not seeing reality	
de kho na nyid rab tu rtogs pa	realize reality; realize suchness	
de kho na nyid rtogs pa'i 'bring po	middling realizers of suchness [i.e. Solitary Realizers, whose	
de kho na nyid ston pa	indicate reality; teach suchness	
de kho na'i le'u	Chapter on Suchness in Asaṅga's Grounds of Bodhisattvas [which is	
de kho nar	in reality	
de kun	all those{BJ 68.4}	
de la	with respect to that; in that	
de la 'dir	here with respect to that	
de la 'dun pa'i 'dun pa	aspiration which is an aspiration for that	
de las byung ba	arisen from that	
de las bzlog	opposite from that; opposed to that	
de las gzhan dang gzhan med	different and non-different from that	
de las gzhan pa	other than that	
de las gzhan pa'i don	the meaning of something else	
de las lhag pa	something exceeding that{BJ 66.3}	
de las mang ba mi skyi pa'i tshe	when not more than that is produced{LG}	
de las zur du	different from that{BJ 44.7}; separately	
de lta	so	
de lta bas na	therefore{BJ 33.4}	
de lta bu	of that kind, such | such; thus; as; so; just; exactly	
de lta bu byung ba'i sde	discourses [which report] what was said	
de lta bu'i rang bzhin du	of such a nature	
de lta bur ni	just this; just thus	
de lta ma yin na	not like that; not thus	
de lta na	in that case{BJ 18.3}	
de ltar	so, that way | [that-like]; such; like that; thus; just so; in that way{BJ 23.7}	
de ltar 'byed pa	differentiation	
de ltar 'tho ba	the attainment of such	
de ltar bu	just so; exactly; in that way	
de ltar byas te	he did so ...	
de ltar du	similarly; such; this is so; in that way{BJ 36.4}	
de ltar gsungs pa	such is said	
de ltar med	not so; not like that	
de ltar na	in that way | in that case; in this way	
de ltar yang	in the same way{BJ 16.5}; also{BJ 22.2}	
de ma dag rkyen	immediately preceding condition	
de ma thag pa	immediately precede	
de ma thag rkyen	immediately preceding condition	
de na	then; there	
de nas	thereafter, then | [that-from]; then; from that; therefore	
de nyid	the very same | reality; suchness; principle	
de nyid 'di yin no	just that is this	
de nyid bzang rtogs	understand reality well	
de nyid dang gzhan las rnam par grol ba	liberated from just that and from other	
de nyid don	meaning of reality; object of reality	
de nyid du	at that very moment	
de nyid gong mas	"the previous """"just those"""""	
de nyid gsum gyi bsam gtan	concentration of the three principles; concentrations of the three	
de nyid mchog	highest reality	
de nyid zab mo mthong	seeing the profound reality {T}	
de nyid; de kho na nyid	suchness	
de phyir	because of that; therefore	
de rang bdag gcig 'brel	related as its own essence (?)	
de ring	today | now; presently; today	
de ring gi dus su 'das pa'i don dran pa'i rtog pa	consciousness that remembers a past object at the present time	
de ring gi dus su ma 'ongs pa'i don mngon par 'dod pa'i rtog pa	consciousness wishing for a future object at the present time	
de skad	those words | at these words	
de snyed	such	
de srid	so long | [that-exist]; just so long	
de srid du	just so long as	
de ste	now	
de tsam	just that; merely that	
de tsam gyis	by just that	
de tshe	at that time	
de yan chad	everything beyond that point	
de yang	namely | [that-also]; furthermore; further; moreover	
de yang de dang 'dra ba nyid du gyur; de yang de dang 'dra ba nyid du 'gyur ro	it is just like that, and will be just like that{S1}	
de yi 'du shes	conception of that	
de yi 'og tu	higher than that	
de yi ngo bo	essence of that	
de yi rgyu	cause of that	
de'ang	namely | also	
de'i 'og	"after that [lit.: """"under that""""]"	
de'i 'og tu	"after that [lit.: """"under that""""]{Lati}"	
de'i don med	not the meaning of that	
de'i gong de ma thag tu	immediately/right/just before that	
de'i gzhi las	from the base of that	
de'i mtshan nyid can	has the sign of that	
de'i ngo bor snang ba	appear as the entity of that	
de'i phyir	because of that	
de'i rang bzhin can	having the nature of that	
de'i rgyus	because of that	
de'i rjes la thob pa shes bya mtha' yas pa'i yul can gyi ye shes kyi lam	path of exalted wisdom--attained subsequent to that--having limitless	
de'i rjes su	subsequently	
de'i rjes su shes sgrib spong bar byed pa yin te	... and subsequently serves to abandon the obstructions to	
de'i rkyen gzhan kyi stobs kyis byung ba	arisen through the force of their other conditions{BJ 28.4}	
de'i sngon du	prior to that	
de'i steng du	in addition to those	
de'i tshe	at that time	
de'i tshe tshigs su bcad pa 'di dag bka' stsal to	at that time [Buddha] spoke these stanzas	
deb	book [european style]	
ded dpon	[move-master]; captain; master; p.n. of a Buddha	
der	there; then | as that; in that way; in that	
der gyur pa'i dbang mngon	sense direct perceiver which is that	
der ma zad	not only that ...	
der snang ba'i sems tsam	mere mind that appears as that	
der yang	moreover	
des	therefore; for that reason	
des na	for that reason | therefore; for that reason	
dga'	to rejoice in, to be happy/delighted about; to like | joy; happiness; liking	
dga' ba	happiness | joy; happiness; liking; like; prefer; incline toward	
dga' ba 'thob pa	attain/obtain joy/happiness	
dga' ba bskyed pa	generate/produce/engender joy/happiness	
dga' ba dang bde ba	joy and bliss	
dga' ba dang bde ba bskyed pa	generate/produce/engender joy and bliss	
dga' ba dang bde ba yang dag par myong ba	thoroughly experience joy and bliss	
dga' ba dang bral ba med pa	not separated from joy/happiness; not devoid of joy/happiness	
dga' ba dang ldan	joyous; possessing joy; endowed with joy; happy	
dga' ba dang ldan pa	joyous; possessing joy; endowed with joy; happy	
dga' ba dang mtshungs par ldan pa	having similar association with joy	
dga' ba dang yid bde skye ba	generate/produce/engender joy and mental bliss	
dga' ba med	joyless; absence of joy; without joy/pleasure	
dga' ba ni bde ba dang mi 'bral ba'i rnam pa yin	joy has the aspect of [wishing for] non-separation from	
dga' ba nyams su myong ba	experiencing joy	
dga' ba sdud pa'i yid byed	mental contemplation of joy-withdrawal	
dga' ba spong ba	abandoning/forsaking joy	
dga' ba yid la byed pa	mental contemplation of joy; joyous mental contemplation; taking joy	
dga' ba yongs su smin pa	thorough maturaion of joy	
dga' ba'i bsam pa	joyous thought; thought of joy	
dga' ba'i khyad par bskyed pa	generate a particular/specific/instance/type of joy	
dga' ba'i mchog	supreme of joys; supreme joy	
dga' ba'i rgyu	cause of joy	
dga' ba'i rgyu nyid	cause of joy	
dga' ba'i ro	taste of joy	
dga' bar	joyous; happy	
dga' bar 'gyur ro	become joyful	
dga' bar byed pa	take delight	
dga' bar mdzad pa'i tshul gyis	in the manner of making joyous	
dga' bar mi bya ba	not take joy	
dga' bar mi byed	not take joy; not take delight	
dga' bar tshim par byed	satisfy; joyously satisfy	
dga' bas gnas pa'i phyir	due to abiding with joy; due to abiding joyously	
dga' bshes	spiritual advisor, < *dga'-ba'i-bshes-gnyen (Skt. kalyānamitra) friend to virtue, spiritual advisor	
dga' byed	make happy	
dga' byed pa	make happy	
dga' dang ldan pa	endowed with joy/happiness	
dga' ldan	Dga'-ldan heaven (Skt. Tushita) | Joyous Land/Heaven [name of a Buddhist pure land]; Gan-den	
dga' ldan 'khri pa	holder of the throne of Gan-den [head of the Ge-luk-b#a order]	
dga' ldan gnas la sogs par skye bar kun tu ston pa	thoroughly displaying birth in the Joyous Land and so forth	
dga' ldan gyi gnas na bzhugs pa	dwelling in the Joyous Land	
dga' ldan gyi gnas na gnas pa la sogs pa'i sprul pa nges par ston pa	definite display of emanations such as that dwelling in the Joyous Land	
dga' mgur	arbitrarily	
dga' rab dbang phyug	the demonic Lord of Love	
dga' ston	festival; fest; party	
dga' zhing	enjoy; like	
dgab	cover; spread over	
dgag	negate; stop; refute; block; limit	
dgag bya	object of negation/refutation; object negated; object stopped; that	
dgag bya 'gog pa'i rtog pa	a conceptual consciousness that [merely] refutes an object of negation	
dgag bya bkag pa	negative of the object of negation; negation of the object of negation	
dgag bya khyab ches pa	too extensive object of negation/refutation	
dgag bya ngos bzung ba	identifying the object of negation	
dgag bya'i chos	predicate to be negated; predicate of the negandum	
dgag bzhag spong gsum	the three—refuting [other's systems], establishing [our own system],	
dgag gzhi	basis of negation	
dgag gzhi can gyi chos	phenomenon which has a basis of negation	
dgag pa	negation; refutation; negative [phenomenon]; cessation; negative	
dgag pa dngos su rtogs pa'i tshad ma	direct perception explicitly realizing a negative phenomenon	
dgag pa'i rnam pa shar nas dgag pa la gsar du mi bslu ba'i rig pa	a knower newly incontrovertible with respect to a negative	
dgag pa'i sgra	negative word/term	
dgag par gyur pa'i ldog pa rigs gcig pa	negative phenomena which are the same isolate type	
dgag sgrub byed	refutation and establishment; refutation and proof	
dgag sgrub gnyis	the two—negative [phenomena] and positive [phenomena]; the two—	
dgas	to be cracked	
dge	virtue; virtuous; wholesome	
dge 'dun	[virtue-aspire]; spiritual community; assembly; aspirants to virtue	
dge 'dun dkon mchog	Spiritual Community Jewel	
dge 'dun grub	Ge-dün-drup [the first Dalai Lama (1391-1474)]	
dge 'dun nyi shu'i mdo	sūtra passages on the twenty members of the spiritual community	
dge 'dun phal chen pa	Mahāsāṃghika; Great Assembly School	
dge 'dun rgya mtsho	Gen-dün-gya-tso [the second Dalai Lama (1476-1542)]	
dge ba	virtuous deed, virtue; to be virtuous | virtue; virtuous; wholesome; virtuous factor	
dge ba 'dod pa	desiring virtue; wishing virtue; wanting virtue	
dge ba 'jug 'dod	wish to engage in virtue	
dge ba 'phel ba	increasing virtue	
dge ba ... mngon par dga'	manifestly liking virtue	
dge ba bcu'i las kyi lam	paths of action of the ten virtues	
dge ba bla na med pa la sgrib pa	obstructing unsurpassed virtue	
dge ba bsags pa	virtue accumulated	
dge ba bsags pas rab gang	filled with accumulated virtue	
dge ba bya ba	helpful; good; lovely	
dge ba chos	virtuous/wholesome doctrine/phenomenon	
dge ba dag ni sgom pa	meditatively cutlivate virtues	
dge ba dang ldan pa	virtuous; endowed with virtue; possessing virtue	
dge ba dang mi dge ba'i las	virtuous and non-virtuous actions	
dge ba dpag tu med pa'i gnas	source of immeasurable virtue	
dge ba gnyis	two virtues	
dge ba goms pa	cultivate virtue; become asccustomed to virtue	
dge ba la 'god pa	establish/set in virtue	
dge ba la 'jug par 'dod pa	wishing to engage in virtue	
dge ba la 'jug par byed pa'i phyir	because of engaging in virtue; in order to engage in virtue	
dge ba la gzhol ba	tending to virtue; flowing to virtue	
dge ba la ma zhugs pa	not engaged in virtue	
dge ba la sbyor ba	training in virtue; endeavoring in virtue	
dge ba ma bsags pa	non-accumulation of virtue	
dge ba ma yin	non-virtue; non-virtuous; unwholesome	
dge ba mi bskyed pa	ungenerated virtue; not generating virtue	
dge ba mi zad bya ba'i phyir	in order not to extingtuish virtue	
dge ba rab tu sbyor ba	thoroughly engaging in virtue	
dge ba sgom pa	meditate virtue; meditatively cultivate virtue	
dge ba sgrub pa	achieve virtue; accomplish virtue	
dge ba sgrub pa rnam pa	aspect of achieving virtue	
dge ba yang dag len du 'jug	cause to assume pure virtue	
dge ba yid la byed	taking virtue to mind; contemplating virtue	
dge ba zhan pa	weak virtue	
dge ba'i bsam pa	virtuous thought; thought of virtue	
dge ba'i bshes gnyen	spiritual guide; virtuous friend; virtuous spiritual friend; spiritual friend	
dge ba'i bshes gnyen dang ldan	one who has a sprititual guide; possessing a spiritual quide	
dge ba'i bshes gnyen dang mi ldan pa	not having a spiritual guide; one who does not have a spiritual guide	
dge ba'i bshes la nye bar brten	relying on a spirirtual guide	
dge ba'i chos	virtuous/wholesome qualities/practices/phenomena	
dge ba'i chos 'phel bar 'gyur ba	increasing virtuous qualities/practices/phenomena	
dge ba'i chos 'phel bar byed pa	increasing virtuous qualities/practices/phenomena	
dge ba'i chos 'thob bo	attained virtuous qualities/practices/phenomena	
dge ba'i chos can	having the quality of virtue; having the attribute of virtue	
dge ba'i chos kyi gtso bo	chief/principal/main of virtuous qualities/practices/phenomena	
dge ba'i chos la goms par byas pa	accustomed to virtuous qualities/practices/phenomena	
dge ba'i chos la sbyor ba	endeavoring at virtuous qualities/practices/phenomena	
dge ba'i chos sdud pa'i tshul khrims	ethics that is the composite of virtuous qualities/practices/phenomena	
dge ba'i chos sgom pa la bar chad med par brtson pa	uninterrupted effort at meditative cultivation of virtuous	
dge ba'i chos spel ba	increasing virtuous qualities/practices/phenomena	
dge ba'i chos su snang ba	appear as virtuous qualities/practices/phenomena	
dge ba'i grogs po	virtuous friend; spiritual guide	
dge ba'i las lam	path of virtuous action	
dge ba'i las rnams byed pa	performing actions of virtue	
dge ba'i lo tog	harvest of virtue	
dge ba'i lo tog rgyu mtshan	signs of harvest of virtue	
dge ba'i lo tog skyes pa 'joms pa	destroying harvests of virtue that have been generated	
dge ba'i me tog rgyas shing gsal ba	broad and bright flower of virtue	
dge ba'i phyogs	class of virtues; class of virtuous qualities/practices/phenomena	
dge ba'i rtsa ba	virtuous/wholesome root(s); roots of virtue	
dge ba'i rtsa ba bsags pa	accumulated roots of virtue	
dge ba'i rtsa ba bskyed pa	growing roots of viture; generating roots of virtue	
dge ba'i rtsa ba dman pa	low/lesser roots of virtue	
dge ba'i rtsa ba dpag tu med pa'i gnas	source of immeasurable roots of virtue	
dge ba'i rtsa ba gcod pa	cutting roots of virtue; severing roots of virtue	
dge ba'i rtsa ba kun tu chad pa	thoroughly annihilated roots of virtue; thoroughly severed roots of	
dge ba'i rtsa ba nyam chung ba	weak roots of virtue	
dge ba'i rtsa ba rgya che ba nyid	vast roots of virtue	
dge ba'i rtsa ba yongs su ma smin pa	unripened/unmatured roots of virtue	
dge ba'i rtsa ba yongs su smin pa	thoroughly ripened/mature roots of virtue	
dge ba'i rtsa ba yongs su smin par byed pa	thoroughly ripening/maturing roots of virtue	
dge ba'i tshogs	collection of virtue	
dge ba'i yon tan	virtuous quality; quality of virtue	
dge bar bya ba	acting virtuously	
dge bas 'phel bar byed pa	increase through virtue	
dge bcu'i las kyi lam	path of the ten virtuous actions	
dge bshes	[virtuous-friend]; spiritual guide; ge-s#hay [a person who has	
dge bsnyen	approacher to virtue; layperson with vows; lay practitioner	
dge bsnyen dang dge bsnyen ma gnyis	the two—laymen (upāsaka) and laywomen (upāsikā) with vows	
dge bsnyen ma	female approacher to virtue; laywoman	
dge byed pa	making virtue	
dge chos	virtuous doctrine	
dge dang mi dge bskyed	generating virtue and non-virtue	
dge la bag yod	conscientious with regard to virtue	
dge la yang dag par spro ba	delighting in virtue; taking enthusiasm in virtue	
dge legs	prosperity | virtue and goodness	
dge lugs	Ge-luk	
dge lugs pa	Ge-luk-b#a [school of Tibetan Buddhism founded by D#zong-ka-b#a	
dge mi dge gang du lung du ma bstan pa	neutral; not indicated/revealed as either virtue or non-virtue	
dge rgan	teacher	
dge rtsa	virtuous/wholesome root(s); roots of virtue	
dge sbyong	one engaged in virtuous endeavor	
dge sbyong ma yin	not engaged in virtuous endeavor	
dge slob	training in virtue; ascetic; novice monk	
dge slob ma	female novice	
dge slong	monk | [virtue-beg]; monastic; monk; nun	
dge slong dang dge slong ma	monk and nun	
dge slong gi sdom pa	monastic's vow	
dge slong ma	nun	
dge slong ma yin	non-monastic	
dge sogs gsum	the three: virtue and so forth	
dge tshul	novice monastic	
dgo ba	antelope	
dgod	to laugh | set/state/establish/arrange/register/make a record/place [on throne]/put	
dgod pa	set/state/establish/arrange/register/make a record/place [on throne]/put	
dgod par bya	set/state/establish/arrange/register/make a record/place [on throne]/put	
dgod par bya'o	set/state/establish/arrange/register/make a record/place [on throne]/put	
dgon pa	hermitage | monastery; forest; hermitage	
dgon pa la gnas pa	forest-dweller; dwelling in monastery	
dgon pa nags khrod chen po	great forest; hermitage in a great forest	
dgon pa pa	hermit	
dgongs	to think, to reflect (on) | thought; thinking; thinking of; hidden meaning; intention; notion	
dgongs 'grel; dgongs pa nges par 'grel pa'i mdo	[thought-unravel]; Saṃdhinirmocana-sūtra; Sūtra Unraveling the	
dgongs gzhi	basis in [Buddha's] thought; [factual] basis in Buddha's thought	
dgongs gzhi dang dngos la gnod byed	the basis in [Buddha's] thought and the damage to what is explicitly	
dgongs pa	thought [hon. of bsam pa]; notion; significance; intention	
dgongs pa bkral ba	commenting/commentary on the thought; unraveling the thought	
dgongs pa bzhi	four thoughts	
dgongs pa can	having a thought behind it; having another thought	
dgongs pa can gyi don	meaning that has a thought behind it	
dgongs pa mdzad de	consider; take under consideration	
dgongs pa nges par 'grel pa'i mdo; mdo sde dgongs 'grel	[thought-unravel-sūtra]; Saṃdhinirmocana-sūtra; Sūtra Unraveling the	
dgongs pa rab gsal	Illumination of the Thought [Dzong-ka-ba's commentary on	
dgongs pa rtogs pa	realization of the thought; realization of the thought behind it	
dgongs pa shin tu zab	very profound thought	
dgongs par snang ba	appears to be the thought	
dgongs su gsol	please pay heed	
dgongs te	thinking of; thinking; in consideration of; intending	
dgos	to need; to be necessary, have to, need | purpose; necessity; need to; necessary	
dgos ched kyi sgra	dative case [term of purpose or benefit]	
dgos pa	purpose; necessity; need; aim; must; should; intention	
dgos pa byed do	performs its purpose	
dgos pa byed nus pa	able to perform its purpose	
dgos pa ltos pa'i grangs nges	definite enumeration in terms of purpose; definite enumeration relative	
dgos pa med pa	without purpose; without need	
dgos pa thams cad byed pa	effecting all purposes/aims	
dgos pa yongs su grub pa	thorough achievement of the purpose; thoroughly achieve one's	
dgos pa'i dbang	by the power of necessity; through the force of a purpose	
dgra	foe; enemy	
dgra bcom	Foe Destroyer; Enemy Killer	
dgra bcom 'bras gnas	abider in the fruit of Foe Destroyer	
dgra bcom dang rang rgyal	Foe Destroyers and Solitary Victor; Foe Destroyers and Solitary	
dgra bcom pa	Arhat (Skt. arhant) | Foe Destroyer; Enemy Killer	
dgra bcom pa'i mkhyen pa	exalted knower of a Foe Destroyer	
dgra bcom rang rgyal	Foe Destroyers and Solitary Realizers	
dgra bcom rang rgyal theg pa	vehicles of Hearers and Solitary Realizers	
dgra bcom rgyan med	Unadorned Foe Destroyer	
dgra bcom zhugs pa	approacher to Foe Destroyer	
dgra bo	enemy | enemy; foe	
dgra bo'i 'du shes	discrimination of [someone as being] an enemy/foe	
dgra bo'i 'du shes su byed pa	discriminating [someone as being] an enemy/foe	
dgra byed	one acting as an enemy; foe; enemy	
dgra byed mang ba	having many enemies/foes	
dgra rnams	enemies; foes	
dgra'i dbang du song ba	come under an enemy's power	
dgram pa	arrange; set out; spread out	
dgrol	loosen; release; free	
dgrol ba	release; free; looosen	
dgrol ba'i phyir	in order to release/free; because of releasing	
dgu	nine | nine; all	
dgu pa	ninth	
dgu po	the nine; all nine	
dgum	to die	
dgun	winter	
dgung	sky | (1) sky; space (2) middle	
dgung nam	space; sky; mid-space	
dgung seng	vacation; holiday	
dgyes pa	to be pleased (hon.); rejoiced	
dir re ba	buzzing	
dka'	difficult; hard	
dka' 'grel	commentary on the difficult points; difficult points commentary	
dka' ba	to be difficult | difficult; hard; hardship	
dka' ba spyad pa; dka' spyad; dka' spyod; dka' ba spyod pa	asceticism; austerities; performing difficult deeds	
dka' ba spyod pa; dka' spyod; dka' spyad; dka' ba spyad pa	[difficult-deed] asceticism; austerities; difficult deed; difficult act	
dka' ba yin	is difficult; is hard	
dka' ba yun ring pos mi skyo ba	not fatigued/discouraged by lengthy asceticism	
dka' sa	[difficult-place] difficult point	
dka' spyad; dka' ba spyad; dka' ba spyad pa; dka' ba spyod pa	[difficult-deed] asceticism; austerities; difficult deed; difficult act	
dka' spyod; dka' ba spyod pa; dka' spyad; dka' ba spyad pa	[difficult-deed] performing difficult deeds; asceticism; austerities	
dkar ba	to be loyal	
dkar chag	table of contents; catalogue	
dkar khung	passage; window; chimney; a white/wholesome	
dkar mi	loyal person	
dkar mo	white	
dkar nag	"friendly or unfriendly, lit. ""white or black"""	
dkar nag gi las	wholesome and unwholesome actions; white and black actions; light	
dkar po	white | white [one of the four primary colors (rtsa ba'i kha dog)]; wholesome	
dkar po rnam par mthong ba'i sa	ground of seeing pure [phenomena]; ground of seeing the wholesome	
dkar po'i chos	wholesome/white phenomenon/practice/attribute	
dkar po'i chos rnams kun tu bcom	completely destroy/overcome wholesome	
dkar po'i phyogs	wholesome quarter/faction/part	
dkar skya	whitish; light gray; grayish	
dkar yol	porcelain cup | cup; chinaware	
dkar; dkar po	white; wholesome	
dkon mchog	jewel; supreme rarity	
dkon mchog 'jigs med dbang po	G#ön-chok-jik-may-w#ang-b#o (1728-1791)	
dkon mchog brtsegs pa	pile of jewels; name of a Mahāyāna sūtra and of a collection consisting	
dkon mchog gsum	[rarity-supreme-three]; the Three Jewels	
dkon mchog sprin gyi mdo	Cloud of Jewels Sūtra [P897, vol. 35]	
dkon pa	rare; precious; scarce	
dkon po	rare; rarity; precious; scarce	
dkon; dkon po	rare; rarity; precious; scarce	
dkri	roll up; wind; wrap up; entangle	
dkris	roll up; wind; wrap up; entangle	
dkris sam bcings te	wound up or bound	
dkrol ba	ring/sound [e.g., a bell]; play musical instrument	
dkrug	disturb; agitate; stir up; trouble	
dkrugs	disturb; agitate; stir up; trouble	
dkrugs nas	having disturbed/agitated/troubled/stirred up	
dkrugs pa	disturb; agitate; stir up; trouble	
dku	side [of the body, above the hip]	
dkyil	center; essence; middle	
dkyil 'khor	disc | [center-circle] maṇḍala; circle; sphere; disk	
dkyil 'khor gyi cho ga; dkyil chog	maṇḍala rite	
dkyil 'khor rgyal mchog	supreme king of maṇḍalas	
