Source	Target	Notes
'byon	to arrive; to appear | come; arrive	
'byor	to adhere to | fortune; treasure; acquisitions	
'byor 'brel	yoga; relatedness	
'byor ba	fortune; treasure; acquisitions	
'byor ba'i dus	time of fortune; time of acquisition	
'byor ba'i ye shes	exalted wisdom of fortune; exalted wisdom of acquisition	
'byor dang mthun spyod ye shes	wisdom which acts in accordance with [one's] fortune ? {T}	
'byor ldan	rich	
'byor pa	wealth | fortune; treasure; acquisitions	
'byor rgyu	cause of fortune	
'byug	verb: anoint; apply a salve noun: salve; ointment	
'byung	to occur, to appear; to happen; to be born; to come out | to arise; come forth; emerge; occur; appear	 [Hopkins]: come forth; emerge; occur; appear
'byung 'gyur	arisen; arise	
'byung 'gyur ba	arisen; arise	
'byung 'gyur gyi reg bya	tangible object arisen from elements; tangible object arisen from the	
'byung 'jug byas pas 'byed pa	open by causing insertion and retraction	
'byung ba che	great element; great arising	
'byung ba chen po	great element	
'byung ba chen po bzhi po dag	the four great elements	
'byung ba lhag ma rnams	the remaining elements {T}	
'byung ba ma mchis pa	not arise; non-arising; not come forth	
'byung ba mchis pa	arise; arising; come forth	
'byung ba med pa	not arise; non-arising; not come forth	
'byung ba yin	arise; come forth; is arisen	
'byung ba'i bye brag	certain [physical] elements	
'byung ba'i byed rgyu	creative cause of arising	
'byung bar	arising; arisen	
'byung bar 'gyur	arises; arising; will arise; which is an element{D1}	
'byung bar 'gyur ba	arises; arising; will arise; which is an element	
'byung bar gyur pa'i reg bya	tangible object which is an element; elemental tangible object	
'byung bas byas pa	made with elements {T}	
'byung gnas	[arise-place]; source; place of origin	
'byung gyur	arisen from elements; elemental evolute	
'byung khungs	(1) ablative case (2) source	
'byung nye ba	imminent	
'byung po	demon | ghost	
'byung po rnams kyi 'jigs pa spang ba	abandon fear of ghosts	
'byung po'i	demon	
'byung po'i gdon	demon(s)	
'byung po*	demon	
'byung po.*	demon	
'byung ste	arises; comes forth; emerges	
'cha'	to place (on) | make; construct [e.g., a mudrā]; arrange [e.g., the legs in a meditation	
'cha' bar mdzad pa	make; construct	
'chab pa	concealment	
'chad	to be cut (off; into pieces); to be separated; to descend; to be decided/determined; to explain	
'chad 'gyur ltar	as will be explained	
'chad byed	explainer; commentator	
'chad pa'i tshe	when explaining/setting forth	
'chad par byed	explain; set forth	
'chad rigs pa	suitable to explain/set forth	
'chad tshe	when explaining/setting forth	
'chag	to walk; to break	
'chags	to confess; reveal [non-virtue]	
'chags pa	to confess; to reveal [non-virtue]	
'chags pa'i dus	time of confession	
'chags par byed pa	confess; reveal	
'chal ba	faulty	
'chal ba tshul khrims	faulty ethics	
'chal ba'i shes rab	faulty wisdom	
'chal pa	faulty	
'chal pa'i shes rab	faulty wisdom	
'chal pa'i tshul khrims	faulty ethics	
'chal tshul rtsom pa'i dri bral	free from the stains of faulty ethics	
'cham	to agree (upon)	
'char	to rise	
'char ba	appear; dawn; shine; reflect.	
'char byed	'Char-byed (Skt. Udayana)	
'char tshul	mode of appearing	
'chel ba	fixation	
'chi	to die | die; death	
'chi 'pho	transmigrate; transmigration; death; die	
'chi 'pho ba	transmigrate	
'chi 'pho ba dang skye ba dang mi skye ba	non-arising of transmigration and rebirth	
'chi 'pho ba yang ma yin	no rebirth	
'chi 'pho dang skye ba	transmigration and arising; transmigration and rebirth	
'chi ba	death; dying	
'chi ba med pa'i sgo	door of deathlessness	
'chi ba mi rtag pa	impermanence of death{Lati}; imminence of death	
'chi ba nges pa	definiteness of death{N}	
'chi ba'i tshe	time of death	
'chi kha ma	about to die	
'chi rim ji lta ba bzhin du	... as in the stages of death	
'chi srid	the death state	
'ching	to bind	
'ching ba	bonds; bondage; binding	
'ching grol	bondage and liberation	
'chings	(1) to bind; (2) structure	
'chol	to appoint; to entrust (to)	
'chol ba	confused; mixed up	
'chor	to get lost, to perish	
'chos	to make, to prepare	
'da'	to pass over; to pass away | pass away; go beyond	
'da' ba	pass away; go beyond	
'da' ba med	does not pass	
'da' bar 'gyur	pass away; go beyond	
'da' bar bya ba	pass away; go beyond	
'da' bar byed	pass away; go beyond	
'da' bar mi bya ba	does not pass	
'dab ma	leaf; petal	
'dag	to purify; to clean	
'dam	swamp | to choose	
'dam ka	choice	
'dam rdzab	swamp; cesspool; mud (?)	
'dar	to tremble	
'das	to pass over; to pass away | pass; go beyond; supramundane{BJ 52.7}; short for: mya ngan las 'das	
'das byas nas	having passed; having gone beyond	
'das lam	supramundane path{BJ 52.7}	
'das nas	having passed; having gone beyond	
'das pa	past; pass away; go beyond; pastness	
'das pa dang da ltar byung ba	arising in the past and present	
'das pa dang ma 'das pa dang da lta byung ba	arising in the past, future, and present	
'das pa la sogs par dbye ba	division into past and so forth	
'das smra ba	Lokottara-vādin [Transcendentalists???] {T}	
'debs	to cast, to throw, to strike | plant; set; offer; put; sow; give; cast	
'debs pa	put; sow; plant; set; offer; give; cast	
'ded	to drive away	
'degs	support	
'degs pa	support	
'di	this	
'di 'dra	like this	
'di bar	hereabouts	
'di dag	these; those	
'di dag gzhan pa	these and others	
'di dag kun rtog pa tsam	these are all merely conceptual	
'di dag phan tshun	each other; mutually	
'di gas 'di	these	
'di gnyis	these two	
'di la	in this; with respect to this	
'di las	from this	
'di lta 'di ltar gyur cig	and it is like this	
'di lta bu	like this, such as this | [this-like]; like this; thus	
'di lta ste	in this way; namely | it is like this, for example; it is the case that ... [often untranslatable]	
'di lta ste dper na	it is like this, for example	
'di ltar	so, this way | it is like this{S}	
'di ltar 'das pa	it occurred like this	
'di ltar don ji lta ba bzhin du	it is like this: ...{S1}	
'di nas	from this	
'di nas 'jig rten gyi khams	from this worldly realm	
'di ni med do	that is not	
'di ni yod do	that is	
'di skad ces	these words	
'di skad ces bka' stsal to	say/prounounce/explain/teach/speak/grant/order thus:	
'di skad ces gsol	spoke thus:{S}	
'di skad du	[X] says: ...{BJ 51.3}	
'di snyam bgyid de	think this	
'di snyam du sems	[someone] thinks this	
